,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
cbb_per100_3Ppct,-0.0866203600288251,0.03209055000400604,0.13200572217524523,-0.0477461610511883,0.005916555663017828,-0.08256339872918798,0.0005833240061880945,0.29767889976000633,-0.0914495726258265,0.370048486675527,-0.2661037439487483,0.20792337334717464,-0.04450873152698214
cbb_per100_AST,-0.11514911665617034,0.03241588181669619,-0.07594450987912882,0.03003492988516304,0.28626832492086735,0.07112485496598538,-0.12433245100808754,0.05072458399300787,-0.17231153759600745,-0.13206280500357534,0.030604748244545215,-0.010278615834614755,-0.16560950467857166
cbb_per100_BLK,0.1770554493294747,-0.005157588739382574,0.0031202153965157707,-0.06266002524279314,0.01131742244281256,-0.08100475618098171,0.11108786236863467,-0.02926613045734244,0.1447314020134643,-0.16311679926125128,-0.195456261215333,0.1489929459317194,-0.11598692535615969
cbb_per100_DRB,0.1766358415917603,0.029425557783128206,-0.020686908215986583,0.030324947346650855,-0.05505671570326652,-0.20402215740596058,-0.03302056311146021,0.19787613894323655,-0.06909562321836303,-0.1351728496296263,0.06746873010827836,-0.06317526288044101,0.010546111038818284
cbb_per100_DRtg,-0.11952396955904877,-0.01771344359684589,0.03827094059812736,0.06819741472473848,-0.15366192649186522,0.3058133363828014,-0.04806578138826426,0.009224650395839086,-0.07801839250026917,0.011472781336764975,0.09476600483768373,0.029292451745834634,0.07732917187861213
cbb_per100_FG,0.07119536691324861,0.125642496062827,0.14035618227203178,0.21306161277890978,-0.05192205699702107,-0.023722638442656235,-0.1806407821737348,-0.07565672991575097,0.09808692465645392,0.03261184087340172,-0.051107942153058764,0.06455340021366031,-0.024281014049921223
cbb_per100_FGA,-0.04990496459826648,0.09550434388080024,0.06999323056789919,0.2746226821479239,-0.10150656801281349,-0.14703299897225405,-0.11857679528286832,-0.08806217002102937,0.10342802399153711,-0.00027687122036514924,-0.049436946535430425,0.05448096521936253,-0.042747491428644535
cbb_per100_FGpct,0.18038832362531457,0.05328247847264822,0.10847674358882255,-0.07089126035861985,0.05873093051880903,0.17612185848366935,-0.09314889075160042,0.006805702290770447,0.03679876955354132,0.0365034982616757,-0.009828012550191778,0.024481883409424473,0.02964477561923578
cbb_per100_FT,0.03304641864168757,0.11661207130554771,0.004944709726054318,0.22245141005642116,0.08229962638931265,0.05770480644973504,0.36674075619525387,0.05110197679781943,-0.0017066002175358046,0.019059495982776502,0.048207943936227786,-0.010058082657088524,0.059165627217117024
cbb_per100_FTA,0.07938875620843075,0.10360081537603945,-0.04362724669636687,0.21393250002891087,0.0699281085294842,0.0800711633323463,0.31001122144844545,0.01562981896657356,0.031670249218459026,0.07223045758187821,0.03533136601063221,-0.08880998427730653,0.07861036506849839
cbb_per100_FTpct,-0.12341459162151196,0.040914612227463926,0.14183524908724926,0.02772946754250588,0.033239755383727414,-0.04253464451704621,0.17723103728035203,0.09306793578457265,-0.09474071362982382,-0.1395320114718101,0.04133093762470597,0.2233619838322505,-0.017216534752032216
cbb_per100_G,-0.04537047636577944,0.1463861200767621,-0.10823210728387865,-0.1976651681103431,-0.08285313851375722,0.04690673325500461,0.03715323912388518,-0.05654563838160331,0.11003731258755514,0.08904323277794583,0.020524810261733955,-0.05762547645197219,-0.16095350164104547
cbb_per100_GS,-0.053959780765254414,0.17072787865256914,-0.0797887996666146,-0.13367468440601307,-0.06284501255062326,0.009930080519874849,-0.010495330858036542,0.024894641908552877,-0.04703550155269877,-0.0911455037396978,-0.06475447375508733,0.12741030806650275,0.2083068501595853
cbb_per100_MP,-0.10171473085432534,0.1795575361888297,-0.083406855380166,-0.12518575720350758,-0.051485109940564724,0.0353022223138584,-0.0027197123606604048,-0.001682832409769269,-0.045682722582554486,-0.03208010052735315,-0.011200192987497535,-0.022320158919209774,0.012779568253853615
cbb_per100_ORB,0.19655061922169173,0.014028396177842862,-0.04393401929199966,-0.002590650533438596,-0.06196761133389505,-0.04806984737870488,-0.009431477792726937,-0.022961528611434585,-0.06719166002303126,0.05882679605410625,0.0932271034355248,-0.09214534525137663,0.0812314079919293
cbb_per100_ORtg,0.03793235263221013,0.10516790487607834,0.24274924403119472,-0.13048756816788556,0.07701671907633631,0.07252638630888338,0.09532625274649624,-0.08012165960670084,-0.1468604293793242,0.030090809231145103,0.10996817931633791,-0.035384905245391944,-0.02213810964903647
cbb_per100_PF,0.1276991395522527,-0.06520566637645728,-0.07148525270420908,-0.001183287244760916,-0.01107553358852879,0.0064403863300243076,0.09377955695319858,0.061955050751327505,0.3177072889607352,0.1903330943421579,0.13606781827434497,0.08963475639636971,-0.09983987534074937
cbb_per100_PTS,0.01563822101562493,0.13870091768682274,0.15785033477343743,0.24281583839175241,-0.027986519554526166,-0.03348114773201776,-0.0009144135054216158,-0.008483625929213083,0.1154536576432397,0.02024886182028376,-0.0114207903190214,0.022150078451648465,0.0034101216678078545
cbb_per100_STL,-0.05029785115565449,-0.007945690394785217,-0.07849639600438758,-0.004550044739226986,0.3192251995407035,-0.1786989948490422,-0.09563898516521711,-0.10967913317851087,0.12326230657671895,0.18145829513891804,0.09693306721541996,0.024741142889683244,0.2408756805268995
cbb_per100_TOV,0.011988889319936575,0.018714606714170096,-0.1481008287662957,0.200253842223749,0.14922472876585913,0.08804094092487916,-0.11067051433178307,0.3315645050804124,0.19442521500963167,-0.09264408394420508,-0.04245460823770957,-0.00886199148853732,-0.028212727733616095
cbb_per100_TRB,0.19914674601773955,0.024813006846421272,-0.032207489641868974,0.01769642896927288,-0.061793769790491684,-0.151471910784368,-0.024874229448633444,0.11614493991922643,-0.0733594039550142,-0.06012254889187385,0.08385706420401431,-0.08125489191740792,0.04268102585074907
cbb_per100_eFGpct,0.1037996871545286,0.054461309105343,0.23916415318367173,-0.12244069718529152,0.04319314978565059,0.14608756710245335,-0.10194550834094439,0.0932022163043701,0.1111386567214365,0.027983101956258655,0.023936956576504995,-0.03446000034369148,0.03924052047239925
cbb_totals_2P,0.07750445407292961,0.19323086632149164,-0.06948148840930608,0.06864854833590565,-0.03749834230101436,0.07628339616827828,-0.14849546733239388,-0.10937469460427551,-0.033113104562671886,0.05606297028464836,-0.05465325904855324,0.08280258459232581,-0.012689323033907431
cbb_totals_2PA,0.031772464759747834,0.1906683172711657,-0.12464639942986064,0.1084012855696893,-0.05500475791822548,0.03221942101215286,-0.11039405813020456,-0.12669206778724568,-0.0666231277612283,0.059512895340703496,-0.07228056064387588,0.1098136195471423,-0.03511406655933754
cbb_totals_2Ppct,0.1474716000867399,0.04933929984476026,0.1472565735340819,-0.0906905813846288,0.05795941498779192,0.1575022941878212,-0.1411762629403688,0.017561322784893335,0.11681558948158535,-0.0162561363870072,0.06396549664407178,-0.046147816548812524,0.04397514193754696
cbb_totals_3P,-0.17384669633380442,0.06244831155107736,0.12966924498777196,-0.023415732619060277,-0.07625546735529867,-0.08625343383457935,0.0002012709406522057,0.07729168432031372,0.1588478067567259,-0.061874586323563734,0.042504806820390595,-0.10938725592560673,-0.009019699143823608
cbb_totals_3PA,-0.17978402386989634,0.06244937902494257,0.09601516291390848,-0.0049052298219278085,-0.08251185166368469,-0.09762581091972443,-0.0016355831250332872,0.04791474496063657,0.17770392097586563,-0.09057584385909395,0.055040350792627604,-0.11763383215450515,-0.006515536379965529
cbb_totals_3Ppct,-0.08662036002882509,0.032090550004006034,0.13200572217524525,-0.047746161051188264,0.005916555663017777,-0.08256339872918801,0.000583324006188216,0.29767889976000644,-0.09144957262582656,0.3700484866755271,-0.2661037439487483,0.20792337334717476,-0.044508731526982155
cbb_totals_AST,-0.12328419229807583,0.07891659792405564,-0.08750792762627303,-0.010714773982704342,0.23590281518164047,0.09323557541820927,-0.1091097868391102,0.04418626668015098,-0.13897703346115103,-0.13313573107889146,0.039306873920865855,-0.023944049831581077,-0.17368992016570164
cbb_totals_BLK,0.1563231719103266,0.04636012937589764,-0.0325206700062579,-0.10384061515787332,-0.01351086303939903,-0.08961839878439151,0.09561022341469123,-0.025232088565220842,0.11798289935617207,-0.147030176816902,-0.21914501886216642,0.1651215943238709,-0.07845178475638932
cbb_totals_DRB,0.0976195637487804,0.14524697443167772,-0.08326027924432548,-0.056720155952146974,-0.09457266478388297,-0.17267103609522608,-0.057983514419795976,0.20057997869597474,-0.08463582803426904,-0.11657703431948832,0.059983252861038984,-0.06474655672410344,0.04109731802223228
cbb_totals_FG,-0.03198800899099912,0.21976533353030656,0.012862701491255011,0.05053132787305047,-0.08138720468280315,0.01976929128078218,-0.13977815661471152,-0.05635811653328797,0.06475018157400052,0.015444534145520133,-0.025816069274993393,0.011937928940146924,-0.017402831634025104
cbb_totals_FGA,-0.1027913452281602,0.18850995207185017,-0.026676614622634143,0.0786598131484253,-0.09989258764029779,-0.04447941335325128,-0.08478486572256705,-0.06216746019141571,0.07492189553500174,-0.0188281430856168,-0.01591912622644125,0.00018501944870934632,-0.031198771917352618
cbb_totals_FGpct,0.18038832362531457,0.05328247847264822,0.10847674358882255,-0.07089126035861985,0.05873093051880903,0.17612185848366935,-0.09314889075160042,0.006805702290770447,0.03679876955354132,0.0365034982616757,-0.009828012550191778,0.024481883409424473,0.02964477561923578
cbb_totals_FT,-0.032662897391230794,0.18826107093638603,-0.05545053025948217,0.11476419115631346,0.03377920642822668,0.07588383658082341,0.27306584721530625,0.045561229166006564,0.00015867277058666102,0.027946202042709672,0.034885753622614,-0.024551961751660575,0.02514548365299041
cbb_totals_FTA,0.002235655184916271,0.18705412455172024,-0.09867858082483726,0.10993344753821543,0.023265898523251012,0.0908036359377037,0.23237354274811603,0.0180561319982199,0.02063499093094647,0.07510786782552004,0.018233819463751376,-0.0813570314821795,0.04674862290100117
cbb_totals_FTpct,-0.12341459162151196,0.040914612227463926,0.1418352490872493,0.027729467542505895,0.03323975538372738,-0.0425346445170462,0.1772310372803521,0.09306793578457262,-0.09474071362982384,-0.1395320114718101,0.041330937624706035,0.22336198383225048,-0.017216534752032144
cbb_totals_G,-0.04537047636577944,0.1463861200767621,-0.10823210728387865,-0.1976651681103431,-0.08285313851375722,0.04690673325500461,0.03715323912388518,-0.05654563838160331,0.11003731258755514,0.08904323277794583,0.020524810261733955,-0.05762547645197219,-0.16095350164104547
cbb_totals_GS,-0.053959780765254414,0.17072787865256914,-0.0797887996666146,-0.13367468440601307,-0.06284501255062326,0.009930080519874849,-0.010495330858036542,0.024894641908552877,-0.04703550155269877,-0.0911455037396978,-0.06475447375508733,0.12741030806650275,0.2083068501595853
cbb_totals_MP,-0.10171473085432534,0.1795575361888297,-0.083406855380166,-0.12518575720350758,-0.051485109940564724,0.0353022223138584,-0.0027197123606604048,-0.001682832409769269,-0.045682722582554486,-0.03208010052735315,-0.011200192987497535,-0.022320158919209774,0.012779568253853615
