nba_player_id,1_2_Court_Att.,1_2_Court_Md.,Corner_3s_3Ppct,Corner_3s_pct3PA,Dunks_#,Dunks_pctFGA,FGpct_by_Distance_0-3,FGpct_by_Distance_10-16,FGpct_by_Distance_16-3P,FGpct_by_Distance_2P,FGpct_by_Distance_3-10,FGpct_by_Distance_3P,pct_of_FGA_by_Distance_0-3,pct_of_FGA_by_Distance_10-16,pct_of_FGA_by_Distance_16-3P,pct_of_FGA_by_Distance_2P,pct_of_FGA_by_Distance_3-10,pct_of_FGA_by_Distance_3P,pct_of_FG_Ast'd_2P,pct_of_FG_Ast'd_3P
allenma01,0.0,0.0,,0.0,2.0,0.039,0.778,0.182,0.421,0.44,0.455,0.0,0.176,0.216,0.373,0.98,0.216,0.02,0.591,
allenma01,0.0,0.0,0.0,0.25,16.0,0.027,0.543,0.345,0.428,0.426,0.457,0.0,0.119,0.261,0.394,0.995,0.222,0.005,0.639,
allenma01,0.0,0.0,,,2.0,0.01,0.5,0.37,0.421,0.419,0.429,,0.111,0.232,0.48,1.0,0.177,0.0,0.675,
allenma01,0.0,0.0,,,7.0,0.04,0.808,0.391,0.451,0.475,0.348,,0.147,0.26,0.463,1.0,0.13,0.0,0.643,
allenma01,0.0,0.0,,,5.0,0.066,0.786,0.471,0.364,0.461,0.333,,0.184,0.224,0.434,1.0,0.158,0.0,0.571,
allenma01,0.0,0.0,,,2.0,0.02,0.833,0.345,0.51,0.485,0.364,,0.119,0.287,0.485,1.0,0.109,0.0,0.694,
allenma01,0.0,0.0,,0.0,6.0,0.028,0.435,0.472,0.512,0.488,0.522,1.0,0.186,0.291,0.332,0.996,0.186,0.004,0.725,0.0
allenma01,0.0,0.0,,0.0,1.0,0.004,0.522,0.349,0.467,0.416,0.279,0.0,0.178,0.244,0.407,0.996,0.167,0.004,0.71,
allenma01,1.0,0.0,,0.0,3.0,0.009,0.524,0.469,0.51,0.48,0.174,0.5,0.128,0.196,0.599,0.994,0.07,0.006,0.75,1.0
allenma01,1.0,0.0,,0.0,1.0,0.004,0.531,0.451,0.513,0.475,0.111,0.5,0.123,0.195,0.605,0.992,0.069,0.008,0.756,1.0
allenma01,0.0,0.0,,,2.0,0.03,0.5,0.538,0.5,0.5,0.4,,0.152,0.197,0.576,1.0,0.076,0.0,0.727,
allenma01,0.0,0.0,,0.0,5.0,0.029,0.433,0.469,0.416,0.432,0.385,0.0,0.176,0.288,0.453,0.994,0.076,0.006,0.753,
allenma01,0.0,0.0,0.25,0.667,2.0,0.017,0.435,0.538,0.403,0.409,0.143,0.167,0.198,0.112,0.578,0.948,0.06,0.052,0.622,1.0
allenma01,0.0,0.0,,,0.0,0.0,0.714,0.333,0.2,0.355,0.333,,0.226,0.194,0.484,1.0,0.097,0.0,0.636,
allenma01,1.0,0.0,0.2,0.313,44.0,0.021,0.533,0.392,0.449,0.441,0.409,0.188,0.146,0.244,0.444,0.993,0.16,0.007,0.682,0.667
allenma01,0.0,0.0,0.2,0.313,8.0,0.021,0.533,0.392,0.449,0.441,0.409,0.188,0.146,0.244,0.444,0.993,0.16,0.007,0.682,0.667
allenma01,,,,,,,,,,,,,,,,,,,,
allenma01,0.0,0.0,0.0,0.2,25.0,0.027,0.576,0.35,0.421,0.428,0.446,0.0,0.125,0.251,0.411,0.996,0.209,0.004,0.638,
allenma01,0.0,0.0,,0.0,7.0,0.016,0.478,0.415,0.487,0.451,0.404,0.5,0.182,0.267,0.37,0.996,0.176,0.004,0.718,0.0
allenma01,0.0,0.0,0.25,0.667,2.0,0.017,0.435,0.538,0.403,0.409,0.143,0.167,0.198,0.112,0.578,0.948,0.06,0.052,0.622,1.0
allenma01,0.0,0.0,,0.0,5.0,0.029,0.433,0.469,0.416,0.432,0.385,0.0,0.176,0.288,0.453,0.994,0.076,0.006,0.753,
allenma01,1.0,0.0,,0.0,1.0,0.004,0.531,0.451,0.513,0.475,0.111,0.5,0.123,0.195,0.605,0.992,0.069,0.008,0.756,1.0
allenma01,0.0,0.0,,,2.0,0.03,0.5,0.538,0.5,0.5,0.4,,0.152,0.197,0.576,1.0,0.076,0.0,0.727,
allenma01,0.0,0.0,,,2.0,0.02,0.833,0.345,0.51,0.485,0.364,,0.119,0.287,0.485,1.0,0.109,0.0,0.694,
allenma01,0.0,0.0,,,0.0,0.0,0.714,0.333,0.2,0.355,0.333,,0.226,0.194,0.484,1.0,0.097,0.0,0.636,
allenra02,3.0,1.0,0.49,0.171,21.0,0.025,0.474,0.413,0.438,0.448,0.461,0.393,0.251,0.189,0.133,0.672,0.098,0.328,0.388,0.778
allenra02,14.0,1.0,0.386,0.155,35.0,0.03,0.617,0.407,0.437,0.453,0.282,0.364,0.185,0.213,0.223,0.72,0.1,0.28,0.385,0.761
allenra02,2.0,0.0,0.456,0.274,31.0,0.048,0.653,0.4,0.393,0.492,0.479,0.356,0.223,0.178,0.181,0.691,0.108,0.309,0.419,0.851
allenra02,12.0,0.0,0.459,0.273,54.0,0.043,0.596,0.417,0.427,0.468,0.414,0.423,0.195,0.223,0.166,0.712,0.128,0.288,0.421,0.855
allenra02,1.0,0.0,0.5,0.27,31.0,0.027,0.659,0.418,0.41,0.506,0.429,0.433,0.235,0.183,0.14,0.643,0.086,0.357,0.437,0.856
allenra02,8.0,0.0,0.447,0.25,27.0,0.028,0.547,0.455,0.46,0.485,0.461,0.434,0.167,0.176,0.108,0.54,0.089,0.46,0.449,0.769
allenra02,4.0,0.0,0.364,0.242,25.0,0.02,0.613,0.492,0.394,0.478,0.37,0.377,0.165,0.185,0.132,0.609,0.127,0.391,0.327,0.796
allenra02,3.0,0.0,0.31,0.228,14.0,0.017,0.612,0.475,0.412,0.463,0.303,0.395,0.161,0.202,0.127,0.613,0.123,0.387,0.412,0.805
allenra02,1.0,0.0,0.431,0.261,11.0,0.023,0.615,0.522,0.372,0.5,0.459,0.351,0.171,0.161,0.139,0.604,0.132,0.396,0.213,0.782
allenra02,3.0,0.0,0.447,0.225,20.0,0.021,0.701,0.378,0.407,0.468,0.329,0.392,0.181,0.146,0.164,0.628,0.138,0.372,0.371,0.797
allenra02,5.0,0.0,0.369,0.185,27.0,0.021,0.606,0.398,0.415,0.459,0.364,0.376,0.185,0.138,0.201,0.628,0.103,0.372,0.311,0.804
allenra02,4.0,0.0,0.432,0.17,16.0,0.011,0.628,0.451,0.447,0.486,0.4,0.412,0.145,0.123,0.197,0.565,0.1,0.435,0.337,0.751
allenra02,3.0,0.0,0.363,0.181,9.0,0.008,0.608,0.477,0.419,0.479,0.365,0.372,0.181,0.129,0.215,0.616,0.09,0.384,0.306,0.806
allenra02,3.0,0.0,0.403,0.263,9.0,0.009,0.604,0.33,0.503,0.485,0.329,0.398,0.2,0.092,0.169,0.542,0.08,0.458,0.537,0.806
