nba_player_id,3PAr,ASTpct,Age,Awards,BLKpct,BPM,DBPM,DRBpct,DWS,FTr,G,GS,Lg,MP,OBPM,ORBpct,OWS,PER,Pos,STLpct,Season,TOVpct,TRBpct,TSpct,Team,USGpct,VORP,WS,WS_48
aldrico01,0.0,6.4,25.0,,8.1,1.5,1.6,33.8,0.6,0.492,46.0,2.0,NBA,330.0,-0.1,12.8,0.6,19.1,C,1.3,2013-14,19.5,23.0,0.62,NYK,13.0,0.3,1.2,0.178
aldrico01,0.0,13.3,26.0,,5.5,0.3,1.1,28.9,1.4,0.213,61.0,16.0,NBA,976.0,-0.8,11.6,0.8,18.1,C,2.0,2014-15,15.2,20.0,0.513,NYK,18.3,0.6,2.2,0.107
aldrico01,0.0,10.0,27.0,,6.7,2.4,3.4,27.1,2.0,0.373,60.0,5.0,NBA,800.0,-0.9,11.9,1.4,21.3,C,2.9,2015-16,19.6,19.6,0.626,LAC,18.4,0.9,3.5,0.209
aldrico01,0.0,6.4,28.0,,3.7,-0.8,1.5,23.9,0.7,0.256,62.0,0.0,NBA,531.0,-2.3,11.0,0.6,12.7,C,2.4,2016-17,15.1,17.4,0.549,MIN,9.4,0.2,1.3,0.116
aldrico01,0.0,8.2,29.0,,1.8,-7.5,-0.7,28.6,0.1,0.4,21.0,0.0,NBA,49.0,-6.8,7.0,-0.1,6.0,C,2.0,2017-18,5.4,17.6,0.34,MIN,16.8,-0.1,0.0,-0.013
aldrico01,0.0,8.6,,,5.6,0.1,1.7,27.0,5.8,0.296,339.0,23.0,8 Yrs,3389.0,-1.6,11.2,3.8,16.6,,2.1,8 Yrs,17.6,19.0,0.563,8 Yrs,15.2,1.8,9.6,0.135
aldrico01,0.0,8.6,,,5.6,0.1,1.7,27.0,1.4,0.296,82.0,6.0,82 Game Avg,820.0,-1.6,11.2,0.9,16.6,,2.1,82 Game Avg,17.6,19.0,0.563,82 Game Avg,15.2,0.4,2.3,0.135
aldrico01,0.0,11.6,,,6.2,0.6,1.2,30.1,2.0,0.26,107.0,18.0,NYK (2 Yrs),1306.0,-0.6,11.9,1.4,18.4,,1.8,NYK (2 Yrs),16.0,20.8,0.533,NYK (2 Yrs),17.0,0.9,3.4,0.125
aldrico01,0.0,6.6,,,3.6,-1.4,1.3,24.3,0.7,0.277,83.0,0.0,MIN (2 Yrs),580.0,-2.6,10.7,0.5,12.1,,2.4,MIN (2 Yrs),13.7,17.4,0.516,MIN (2 Yrs),10.0,0.1,1.3,0.105
aldrico01,0.0,3.3,,,5.3,-1.3,2.0,19.8,0.6,0.316,44.0,0.0,OKC (2 Yrs),315.0,-3.2,10.1,0.3,12.9,,2.1,OKC (2 Yrs),20.8,15.2,0.578,OKC (2 Yrs),11.8,0.1,0.8,0.126
aldrico01,0.0,10.0,,,6.7,2.4,3.4,27.1,2.0,0.373,60.0,5.0,LAC (1 Yr),800.0,-0.9,11.9,1.4,21.3,,2.9,LAC (1 Yr),19.6,19.6,0.626,LAC (1 Yr),18.4,0.9,3.5,0.209
aldrico01,0.0,4.1,,,3.2,-5.0,0.6,23.7,0.3,0.209,30.0,0.0,HOU (1 Yr),213.0,-5.6,6.5,-0.1,7.3,,0.7,HOU (1 Yr),23.0,15.2,0.532,HOU (1 Yr),12.5,-0.2,0.2,0.038
aldrico01,0.0,2.6,,,6.3,-0.5,0.5,30.4,0.2,0.297,15.0,0.0,SAC (1 Yr),175.0,-1.0,11.5,0.2,15.7,,0.6,SAC (1 Yr),17.7,20.7,0.598,SAC (1 Yr),12.9,0.1,0.4,0.109
aldrila01,0.004,3.2,21.0,ROY-7,4.2,-1.4,-1.0,15.3,1.0,0.24,63.0,22.0,NBA,1392.0,-0.4,12.6,2.5,17.1,C,0.9,2006-07,7.5,13.9,0.533,POR,19.3,0.2,3.4,0.118
aldrila01,0.006,8.8,22.0,,2.8,0.2,-0.4,15.8,2.8,0.257,76.0,76.0,NBA,2649.0,0.6,9.8,3.5,18.5,PF,1.1,2007-08,8.9,12.8,0.523,POR,25.3,1.5,6.2,0.113
aldrila01,0.023,9.3,23.0,,2.0,1.3,-0.4,15.6,3.3,0.269,81.0,81.0,NBA,3004.0,1.7,9.5,6.1,19.1,PF,1.4,2008-09,8.0,12.5,0.529,POR,23.7,2.5,9.5,0.151
aldrila01,0.014,9.9,24.0,,1.3,1.2,-0.2,18.6,3.3,0.26,78.0,78.0,NBA,2922.0,1.4,8.1,5.5,18.2,PF,1.3,2009-10,7.4,13.3,0.535,POR,22.9,2.3,8.8,0.145
aldrila01,0.016,10.1,25.0,NBA3,2.4,2.1,-0.5,17.2,3.5,0.314,81.0,81.0,NBA,3211.0,2.6,10.1,7.6,21.5,PF,1.4,2010-11,8.7,13.5,0.549,POR,25.7,3.4,11.1,0.166
aldrila01,0.012,13.2,26.0,AS,1.7,3.0,-0.4,17.5,1.6,0.291,55.0,55.0,NBA,1994.0,3.4,8.6,5.4,22.7,PF,1.3,2011-12,9.5,12.9,0.56,POR,27.0,2.5,7.0,0.169
aldrila01,0.011,13.0,27.0,AS,2.5,1.3,-0.4,20.9,2.3,0.264,74.0,74.0,NBA,2790.0,1.7,7.2,4.8,20.4,PF,1.2,2012-13,8.9,14.0,0.53,POR,26.5,2.3,7.2,0.124
aldrila01,0.011,13.0,28.0,"MVP-10,AS,NBA3",1.9,2.3,0.1,25.5,3.5,0.253,69.0,69.0,NBA,2498.0,2.3,7.2,4.0,21.8,PF,1.3,2013-14,7.2,16.5,0.507,POR,29.8,2.7,7.5,0.144
aldrila01,0.074,9.2,29.0,"MVP-7,AS,NBA2",1.9,2.9,-0.3,22.9,3.7,0.256,71.0,71.0,NBA,2512.0,3.2,7.7,4.9,22.8,PF,1.0,2014-15,7.2,15.5,0.528,POR,30.2,3.1,8.6,0.165
aldrila01,0.015,8.1,30.0,"AS,NBA3",2.8,2.3,0.3,22.2,4.5,0.289,74.0,74.0,NBA,2261.0,2.0,9.2,5.6,22.4,PF,0.9,2015-16,7.8,15.9,0.565,SAS,25.9,2.5,10.1,0.215
aldrila01,0.053,9.9,31.0,DPOY-8,3.0,0.8,0.1,16.6,3.7,0.258,72.0,72.0,NBA,2335.0,0.7,8.5,3.5,18.6,PF,1.0,2016-17,7.7,12.7,0.532,SAS,24.5,1.7,7.2,0.149
aldrila01,0.068,11.3,32.0,"MVP-9,AS,NBA2",3.0,3.9,-0.4,17.3,3.6,0.296,75.0,75.0,NBA,2509.0,4.3,10.8,7.4,25.0,C,0.9,2017-18,6.8,14.0,0.57,SAS,29.1,3.7,10.9,0.209
aldrila01,0.032,11.6,33.0,AS,3.4,1.8,-0.6,19.8,2.9,0.312,81.0,81.0,NBA,2687.0,2.4,10.3,6.4,22.9,C,0.8,2018-19,8.8,15.1,0.576,SAS,26.9,2.6,9.3,0.167
aldrila01,0.198,11.4,34.0,,4.4,1.4,-0.5,17.8,1.4,0.241,53.0,53.0,NBA,1754.0,1.8,6.3,3.0,19.7,C,1.0,2019-20,7.8,12.0,0.571,SAS,23.4,1.5,4.5,0.122
aldrila01,0.27,11.0,35.0,,3.7,-0.3,-0.2,15.8,0.6,0.159,26.0,23.0,NBA,674.0,-0.2,3.0,0.5,15.7,C,0.8,2020-21,7.9,9.4,0.556,2TM,22.2,0.3,1.1,0.08
aldrila01,0.302,10.2,35.0,,2.8,-0.9,-0.7,15.4,0.5,0.149,21.0,18.0,NBA,544.0,-0.2,3.3,0.3,15.1,C,0.7,2020-21,7.0,9.2,0.545,SAS,22.7,0.2,0.8,0.067
aldrila01,0.104,14.3,35.0,,7.4,2.2,2.1,17.8,0.2,0.208,5.0,5.0,NBA,130.0,0.1,1.8,0.2,18.2,C,1.1,2020-21,11.8,10.2,0.611,BRK,19.9,0.1,0.4,0.135
aldrila01,0.1,6.3,36.0,,4.0,0.7,-0.6,18.7,1.0,0.223,47.0,12.0,NBA,1050.0,1.3,7.8,2.1,19.6,C,0.6,2021-22,8.0,13.4,0.604,BRK,22.4,0.7,3.1,0.141
aldrila01,0.042,10.2,,,2.6,1.7,-0.3,18.8,42.8,0.27,1076.0,997.0,16 Yrs,36242.0,2.0,8.8,72.9,20.7,,1.1,16 Yrs,8.0,13.8,0.544,16 Yrs,25.7,33.4,115.6,0.153
aldrila01,0.042,10.2,,,2.6,1.7,-0.3,18.8,3.3,0.27,82.0,76.0,82 Game Avg,2762.0,2.0,8.8,5.6,20.7,,1.1,82 Game Avg,8.0,13.8,0.544,82 Game Avg,25.7,2.5,8.8,0.153
aldrila01,0.021,10.2,,,2.2,1.5,-0.4,18.9,25.0,0.269,648.0,607.0,POR (9 Yrs),22972.0,1.9,8.8,44.4,20.3,,1.2,POR (9 Yrs),8.1,13.8,0.532,POR (9 Yrs),25.8,20.5,69.4,0.145
