nba_player_id,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Age,Awards,BLK,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,Lg,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
allenra02,5.2,10.7,0.485,3.6,9.1,0.398,4.5,32.0,AS,0.3,3.9,103.0,8.8,19.8,0.445,4.3,4.8,0.907,73.0,73.0,NBA,2624.0,1.5,116.0,3.0,25.6,SG,1.3,2007-08,2.6,5.4,BOS,0.537
allenra02,5.5,10.2,0.542,3.7,9.0,0.409,4.0,33.0,AS,0.2,3.9,106.0,9.2,19.2,0.48,4.4,4.6,0.952,79.0,79.0,NBA,2876.0,1.2,122.0,2.9,26.5,SG,1.3,2008-09,2.5,5.1,BOS,0.575
allenra02,5.9,10.7,0.556,2.7,7.4,0.363,3.9,34.0,,0.5,3.9,108.0,8.6,18.1,0.477,4.3,4.7,0.913,80.0,80.0,NBA,2819.0,0.8,115.0,3.4,24.2,SG,1.2,2009-10,2.4,4.7,BOS,0.551
allenra02,5.7,11.0,0.52,3.1,6.9,0.444,4.0,35.0,AS,0.3,4.1,104.0,8.8,18.0,0.491,3.5,4.0,0.881,80.0,80.0,NBA,2890.0,0.9,116.0,2.7,24.3,SG,1.4,2010-11,2.2,5.0,BOS,0.577
allenra02,4.1,8.8,0.463,3.6,7.9,0.453,3.7,36.0,,0.3,4.3,101.0,7.7,16.7,0.458,3.3,3.6,0.915,46.0,42.0,NBA,1565.0,0.5,111.0,2.8,22.2,SG,1.7,2011-12,2.3,4.8,BOS,0.566
allenra02,4.0,8.3,0.48,3.6,8.6,0.419,3.5,37.0,,0.4,4.6,107.0,7.6,16.9,0.449,3.6,4.1,0.886,79.0,0.0,NBA,2035.0,1.0,112.0,3.4,22.5,SG,1.7,2012-13,2.7,5.6,MIA,0.555
allenra02,3.4,6.4,0.53,3.2,8.4,0.375,3.9,38.0,,0.2,4.9,109.0,6.5,14.8,0.442,2.9,3.2,0.905,73.0,9.0,NBA,1936.0,0.6,111.0,3.1,19.1,SG,1.5,2013-14,2.3,5.6,MIA,0.549
allenra02,6.4,13.2,0.485,3.4,8.5,0.4,5.0,,,0.3,4.6,108.0,9.8,21.7,0.452,5.0,5.6,0.894,1300.0,1149.0,18 Yrs,46344.0,1.4,114.0,3.3,28.0,,1.7,18 Yrs,3.1,6.0,18 Yrs,0.53
allenra02,7.0,14.7,0.473,3.1,7.6,0.406,5.5,,,0.3,4.9,108.0,10.1,22.3,0.45,5.4,6.1,0.879,494.0,490.0,MIL (7 Yrs),17945.0,1.7,112.0,3.7,28.6,,1.8,MIL (7 Yrs),3.5,6.7,MIL (7 Yrs),0.52
allenra02,5.4,10.4,0.52,3.3,8.1,0.409,4.1,,,0.3,4.0,105.0,8.7,18.5,0.472,4.0,4.4,0.914,358.0,354.0,BOS (5 Yrs),12774.0,1.0,117.0,3.0,24.8,,1.3,BOS (5 Yrs),2.4,5.0,BOS (5 Yrs),0.561
