college_player_id,college_url,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Awards,BLK,Class,Conf,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
dj-augustin-1,https://www.sports-reference.com/cbb/players/dj-augustin-1.html,,,,,,,,,,Career,Career,,,,,,,,,73.0,73.0,2662.0,,,,,,,Career,,,Career,
luke-babbitt-1,https://www.sports-reference.com/cbb/players/luke-babbitt-1.html,,,0.463,,,0.429,,,,FR,WAC,,,,,0.456,,,0.864,34.0,34.0,1110.0,,,,,F,,2008-09,,,Nevada,0.495
luke-babbitt-1,https://www.sports-reference.com/cbb/players/luke-babbitt-1.html,9.4,18.1,0.521,1.9,4.6,0.416,3.2,,1.2,SO,WAC,10.5,104.3,11.3,22.6,0.5,9.0,9.8,0.917,34.0,34.0,1260.0,3.2,124.1,3.9,33.5,F,1.6,2009-10,3.7,13.7,Nevada,0.542
luke-babbitt-1,https://www.sports-reference.com/cbb/players/luke-babbitt-1.html,16.7,33.8,0.494,3.4,8.0,0.421,5.4,,2.3,Career,Career,19.0,104.3,20.1,41.8,0.48,15.8,17.7,0.893,68.0,68.0,2370.0,6.0,124.1,6.7,59.4,,2.7,Career,6.6,25.0,Career,0.52
renaldo-balkman-1,https://www.sports-reference.com/cbb/players/renaldo-balkman-1.html,,,,,,,,,,FR,SEC,,,,,,,,,33.0,8.0,600.0,,,,,F,,2003-04,,,South Carolina,
renaldo-balkman-1,https://www.sports-reference.com/cbb/players/renaldo-balkman-1.html,,,,,,,,,,SO,SEC,,,,,,,,,33.0,10.0,615.0,,,,,F,,2004-05,,,South Carolina,
renaldo-balkman-1,https://www.sports-reference.com/cbb/players/renaldo-balkman-1.html,,,,,,,,,,JR,SEC,,,,,,,,,38.0,22.0,978.0,,,,,F,,2005-06,,,South Carolina,
renaldo-balkman-1,https://www.sports-reference.com/cbb/players/renaldo-balkman-1.html,,,,,,,,,,Career,Career,,,,,,,,,104.0,40.0,2193.0,,,,,,,Career,,,Career,
marcus-banks-1,https://www.sports-reference.com/cbb/players/marcus-banks-1.html,,,,,,,,,,JR,MWC,,,,,,,,,31.0,31.0,1006.0,,,,,G,,2001-02,,,UNLV,
marcus-banks-1,https://www.sports-reference.com/cbb/players/marcus-banks-1.html,,,,,,,,,,SR,MWC,,,,,,,,,32.0,32.0,1154.0,,,,,G,,2002-03,,,UNLV,
marcus-banks-1,https://www.sports-reference.com/cbb/players/marcus-banks-1.html,,,,,,,,,,Career,Career,,,,,,,,,63.0,63.0,2160.0,,,,,,,Career,,,Career,
jose-barea-1,https://www.sports-reference.com/cbb/players/jose-barea-1.html,,,,,,,,,,FR,AmEast,,,,,,,,,28.0,28.0,901.0,,,,,G,,2002-03,,,Northeastern,
jose-barea-1,https://www.sports-reference.com/cbb/players/jose-barea-1.html,,,,,,,,,,SO,AmEast,,,,,,,,,26.0,25.0,890.0,,,,,G,,2003-04,,,Northeastern,
jose-barea-1,https://www.sports-reference.com/cbb/players/jose-barea-1.html,,,,,,,,,,JR,AmEast,,,,,,,,,30.0,30.0,996.0,,,,,G,,2004-05,,,Northeastern,
jose-barea-1,https://www.sports-reference.com/cbb/players/jose-barea-1.html,,,,,,,,,,SR,CAA,,,,,,,,,29.0,29.0,974.0,,,,,G,,2005-06,,,Northeastern,
jose-barea-1,https://www.sports-reference.com/cbb/players/jose-barea-1.html,,,,,,,,,,Career,Career,,,,,,,,,113.0,112.0,3761.0,,,,,,,Career,,,Career,
matt-barnes-1,https://www.sports-reference.com/cbb/players/matt-barnes-1.html,,,,,,,,,,FR,Pac-10,,,,,,,,,30.0,8.0,394.0,,,,,F,,1998-99,,,UCLA,
matt-barnes-1,https://www.sports-reference.com/cbb/players/matt-barnes-1.html,,,,,,,,,,SO,Pac-10,,,,,,,,,28.0,1.0,413.0,,,,,F,,1999-00,,,UCLA,
matt-barnes-1,https://www.sports-reference.com/cbb/players/matt-barnes-1.html,,,,,,,,,,JR,Pac-10,,,,,,,,,32.0,26.0,971.0,,,,,F,,2000-01,,,UCLA,
matt-barnes-1,https://www.sports-reference.com/cbb/players/matt-barnes-1.html,,,,,,,,,,SR,Pac-10,,,,,,,,,31.0,31.0,953.0,,,,,F,,2001-02,,,UCLA,
